,WWSH_WWSH_0,WSPD_WSPD_30min_0,WSPD_WSPD_30min_1,WSPD_WSPD_30min_2,WSPD_WSPD_30min_3
2018-06-08 16:59:00.004191,0.0,8.4024,6.246,7.3296,8.6148
2018-06-08 18:59:00.004194,0.029999999329447746,2.142,10.2672,11.3004,10.5624
2018-06-08 20:59:00.004197,0.0,12.7512,5.7708,0.3924,1.5264
2018-06-08 22:59:00.004200,0.0,17.5824,14.0832,14.2776,13.2444
2018-06-09 00:59:00.004203,0.27000001072883606,13.4496,12.7476,17.7336,18.8604
2018-06-09 02:59:00.004206,0.3499999940395355,16.7904,19.8288,21.0492,20.1528
2018-06-09 04:59:00.004209,0.2800000011920929,10.1664,6.9372,7.758,13.3704
2018-06-09 06:59:00.004212,0.36000001430511475,17.7372,15.9228,13.95,13.9248
2018-06-09 08:59:00.004215,0.3199999928474426,12.0708,12.582,13.9464,17.6544
2018-06-09 10:59:00.004218,0.3199999928474426,13.518,10.1952,10.5372,10.6272
2018-06-09 12:59:00.004221,0.20999999344348907,0.0072,3.2292,9.7092,14.5728
2018-06-09 14:59:00.004224,0.07000000029802322,0.0,1.2168,2.5344,0.162
2018-06-09 16:59:00.004227,0.019999999552965164,0.0,0.0,0.0,0.054
2018-06-09 18:59:00.004230,0.05999999865889549,9.5616,9.054,0.0,0.0
2018-06-09 20:59:00.004233,0.03999999910593033,0.036,0.0,0.0972,1.296
2018-06-09 22:59:00.004236,0.0,1.7028,0.2664,0.1044,0.0
2018-06-10 00:59:00.004239,0.0,0.0756,9.8856,12.078,7.7004
2018-06-10 02:59:00.004242,0.0,3.8844,5.0724,6.4296,1.2492
2018-06-10 04:59:00.004245,0.0,0.936,0.1368,0.4716,0.5256
2018-06-10 06:59:00.004248,0.3700000047683716,23.4648,18.0036,13.9824,2.7144
2018-06-10 08:59:00.004251,0.4000000059604645,17.8848,20.6136,22.2372,22.0608
2018-06-10 10:59:00.004254,0.38999998569488525,14.22,17.2368,18.0936,17.8956
2018-06-10 12:59:00.004257,0.20999999344348907,3.33,2.3616,3.6864,7.8948
2018-06-10 14:59:00.004260,0.05999999865889549,4.1292,6.0408,6.6096,6.7032
